group_id,group_name,category_id,category_name,product_id,product_name,product_brand,product_origin,product_pvp,product_amount,product_unit,product_price,product_description,product_picture
112,"Aceite, vinagre y sal",420,Aceite de oliva,4241,,Hacendado,España,4.80,5.0,l,24.00,"Aceite de oliva 0,4º Hacendado",https://prod-mercadona.imgix.net/images/f89ea17dfd5a9614604fe9b88281b3a8.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4240,,Hacendado,España,5.00,1.0,l,5.00,"Aceite de oliva 0,4º Hacendado",https://prod-mercadona.imgix.net/images/1a84cd7052b68873985104ac24b87043.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4717,,Hacendado,España,6.00,3.0,l,18.00,Aceite de oliva virgen extra Hacendado,https://prod-mercadona.imgix.net/images/f59ef64a2984bb74e7bfa40270605438.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4740,,Hacendado,Jaén,6.05,1.0,l,6.05,Aceite de oliva virgen extra Hacendado,https://prod-mercadona.imgix.net/images/e19dbbdcfbd3e756081491ab7b676ffd.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4706,,Hacendado,España,6.87,0.75,l,5.15,Aceite de oliva virgen extra Hacendado Gran Selección,https://prod-mercadona.imgix.net/images/ca971ebf519d62b535e1d0ad05ebd394.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4641,,Hacendado,España,4.80,5.0,l,24.00,Aceite de oliva 1º Hacendado,https://prod-mercadona.imgix.net/images/29e0d1eaf714c1b03666268d23bc9741.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4640,,Hacendado,España,5.00,1.0,l,5.00,Aceite de oliva 1º Hacendado,https://prod-mercadona.imgix.net/images/b57ae00beedb23ec86686fa3651fd448.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4711,,Hacendado,"Puente de Génave, Sierra de Segura. Jaén.",5.40,3.0,l,16.20,Aceite de oliva virgen Hacendado,https://prod-mercadona.imgix.net/images/e58a263f9514576e38a96724b3104f9b.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4749,,Hacendado,"Puente de Génave, Sierra de Segura. Jaén.",5.55,1.0,l,5.55,Aceite de oliva virgen Hacendado,https://prod-mercadona.imgix.net/images/7a14986c6a536dcd485b8bb8b8e24e33.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4718,,Hacendado,,12.00,0.2,l,2.40,Aceite de oliva virgen extra Hacendado,https://prod-mercadona.imgix.net/images/2dd497b89f607de5efde08d7b1585888.jpg
112,"Aceite, vinagre y sal",420,Aceite de oliva,4850,,Casa Juncal,,9.36,0.5,l,4.68,Aceite de oliva virgen extra Picual Casa Juncal,https://prod-mercadona.imgix.net/images/3269cf8fa758e44f8d3006807c23a16f.jpg
112,"Aceite, vinagre y sal",421,"Aceite de girasol, semillas y maíz",4047,,Hacendado,España,1.75,5.0,l,8.75,"Aceite de girasol refinado 0,2º Hacendado",https://prod-mercadona.imgix.net/images/72607a373385c1a98c1878f3d588a475.jpg
112,"Aceite, vinagre y sal",421,"Aceite de girasol, semillas y maíz",4046,,Hacendado,España,1.85,1.0,l,1.85,"Aceite de girasol refinado 0,2º Hacendado",https://prod-mercadona.imgix.net/images/fd8aa3a00f4c55f8e415f6fe635e4971.jpg
112,"Aceite, vinagre y sal",421,"Aceite de girasol, semillas y maíz",4193,,Hacendado,,9.78,0.45,l,4.40,Aceite de coco virgen Hacendado,https://prod-mercadona.imgix.net/images/4b73d0063a13ed91219d84e7dd70d22d.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4940,,Hacendado,España,0.65,1.0,l,0.65,Vinagre de vino blanco Hacendado,https://prod-mercadona.imgix.net/images/800b96661c0001f45cebc3ee12a4709a.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4954,,Hacendado,España,4.60,0.25,l,1.15,Vinagre balsámico de Módena Hacendado,https://prod-mercadona.imgix.net/images/6e6409e684f3c6c7834554ed3933b9a2.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4957,,Hacendado,España,0.80,1.0,l,0.80,Vinagre de manzana Hacendado,https://prod-mercadona.imgix.net/images/98d5a34a0d30798bbdc520993f63e542.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4903,,Hacendado,España,3.39,0.28,l,0.95,Limón exprimido Hacendado,https://prod-mercadona.imgix.net/images/802d61bae30f424fa8315698f9f245db.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4908,,Hacendado,España,6.60,0.25,kg,1.65,Crema de vinagre balsámico de Módena Hacendado,https://prod-mercadona.imgix.net/images/d23cb7535fe0a9e9e053713faff31b93.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,13609,,Hacendado,España,7.20,0.25,l,1.80,Vinagre de Jerez reserva Hacendado,https://prod-mercadona.imgix.net/images/bfa0c4aabf80adf4cd9a390df6aa7184.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,66905,,Abuela Carola,,3.00,0.75,l,2.25,Bebida aromatizada a base de vino para cocinar Abuela Carola,https://prod-mercadona.imgix.net/images/26999f3c12b8c4fccdc79f2ebabf3228.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,15843,,Hacendado,España,0.95,1.0,l,0.95,Vinagre de vino tinto Hacendado,https://prod-mercadona.imgix.net/images/fb5cf74e1fa94ca426ccb18936b31dc7.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4905,,Hacendado,España,7.50,0.3,kg,2.25,Reducción de vinagre Pedro Ximénez Hacendado,https://prod-mercadona.imgix.net/images/0f2f3566dedc310f8330782da97cff7b.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4962,,Merry,España,20.00,0.1,l,2.00,"Aceite de oliva, vinagre y sal Merry 5 monodosis 10 ml aceite de oliva virgen extra, 5 monodosis 10 ml vinagre de jerez  y 5 monodosis 1 gr sal",https://prod-mercadona.imgix.net/images/76415f87b3e97c28177c7d42b0beac62.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,4965,,Hacendado,España,10.80,0.25,kg,2.70,Crema de vinagre balsámico de manzana Hacendado,https://prod-mercadona.imgix.net/images/0746c9997630504c31cf7466af93e815.jpg
112,"Aceite, vinagre y sal",422,Vinagre y otros aderezos,7104,,Knorr,,15.25,0.16,l,3.05,Aliño viandox Knorr,https://prod-mercadona.imgix.net/images/7cd70d0a2282df53340c39dc2b15d80f.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19731,,Hacendado,ESPAÑA,0.30,1.0,kg,0.30,Sal fina Hacendado,https://prod-mercadona.imgix.net/images/5097b3d7450edab7c2d9586299f5f3b9.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19715,,Hacendado,ESPAÑA,2.00,0.25,kg,0.50,Sal fina de mesa Hacendado,https://prod-mercadona.imgix.net/images/d9e82bacee73e9b91d61db5663bbe81a.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19732,,Hacendado,ESPAÑA,0.30,1.0,kg,0.30,Sal yodada fina Hacendado,https://prod-mercadona.imgix.net/images/409a53c0327dff2c4b91e6b4c58efa42.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19733,,Hacendado,ESPAÑA,0.30,1.0,kg,0.30,Sal gruesa Hacendado,https://prod-mercadona.imgix.net/images/8b9798cc6f23201e8191711f58368727.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,29007,,Hacendado,España,1.50,1.0,kg,1.50,Bicarbonato sódico Hacendado,https://prod-mercadona.imgix.net/images/ed1ebfa8c76af67dc21a385de31fc778.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,29006,,Hacendado,España,3.67,0.3,kg,1.10,Bicarbonato sódico Hacendado,https://prod-mercadona.imgix.net/images/c7cd20b0038ee22bb7678fbebc26df3f.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19740,,Polasal,,15.60,0.125,kg,1.95,Sal marina en escamas Polasal,https://prod-mercadona.imgix.net/images/36bc3658a807997961ec5fda23dd948e.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19734,,Hacendado,ESPAÑA,0.48,2.0,kg,0.95,Sal gruesa para hornear Hacendado,https://prod-mercadona.imgix.net/images/957598a1bc404c3d394bb21e29f0e8f3.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,34130,,Hacendado,España,13.46,0.13,kg,1.75,Sal de ajo Hacendado,https://prod-mercadona.imgix.net/images/bd81680a3655bf89428f333254f34979.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,29016,,Hacendado,España,8.00,0.25,kg,2.00,Sal de frutas sabor limón Hacendado,https://prod-mercadona.imgix.net/images/5ba4d62436d14a7cc28378beb8629a46.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19713,,Hacendado,España,8.40,0.25,kg,2.10,Sal 60% menos de sodio Hacendado,https://prod-mercadona.imgix.net/images/94a6e7709ae88d33abaf61dc7bfaec2a.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19726,,Hacendado,España,4.40,0.75,kg,3.30,Preparado para salmón ahumado Hacendado,https://prod-mercadona.imgix.net/images/029c3c8e49b1d8f5bccae5a4c6283d47.jpg
112,"Aceite, vinagre y sal",424,Sal y bicarbonato,19701,,Hacendado,Pakistán,7.20,0.25,kg,1.80,Sal rosa del Himalaya Hacendado,https://prod-mercadona.imgix.net/images/991e60bbdb74fba917c9e25a05d2ab78.jpg
115,Especias,425,Hierbas,34180,,Hacendado,España,36.11,0.018,kg,0.65,Orégano Hacendado,https://prod-mercadona.imgix.net/images/fa759d1c372c34655489d608e5ab9244.jpg
115,Especias,425,Hierbas,22843,,Hacendado,España,53.57,0.014,kg,0.75,Perejil Hacendado,https://prod-mercadona.imgix.net/images/ec4e2fee35790ecb225b616f5e392860.jpg
115,Especias,425,Hierbas,19431,,Hacendado,España,66.67,0.012,kg,0.80,Hoja de laurel Hacendado,https://prod-mercadona.imgix.net/images/1edacb552ebd79faf18950060840a8d7.jpg
115,Especias,425,Hierbas,34131,,Hacendado,España,44.00,0.025,kg,1.10,Hierbas provenzales Hacendado,https://prod-mercadona.imgix.net/images/75ea233839587117b294f2d15027f57a.jpg
115,Especias,425,Hierbas,34128,,Hacendado,España,62.50,0.02,kg,1.25,Albahaca Hacendado,https://prod-mercadona.imgix.net/images/666740b544111126529a014431ba81f4.jpg
115,Especias,425,Hierbas,34175,,Hacendado,España,32.50,0.04,kg,1.30,Romero Hacendado,https://prod-mercadona.imgix.net/images/d5b59c36668ad99469b2c16a3d90fad7.jpg
115,Especias,425,Hierbas,34174,,Hacendado,España,37.50,0.028,kg,1.05,Tomillo Hacendado,https://prod-mercadona.imgix.net/images/c8ebbb352289907af8997bedda688427.jpg
